Label,Desc,Decision Option,Trade_off
Excluding Family Labour,1,rice-maize-coconut-areca palm,2137.852962
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3316.93083
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3916.938949
Excluding Family Labour,1,rice-maize-coconut-areca palm,3271.840099
Excluding Family Labour,1,rice-maize-coconut-areca palm,3398.547728
Excluding Family Labour,1,rice-maize-coconut-areca palm,4879.882077
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4239.173055
Excluding Family Labour,1,rice-maize-coconut-areca palm,6939.219948
Excluding Family Labour,1,rice-maize-coconut-areca palm,-5892.529352
Excluding Family Labour,1,rice-maize-coconut-areca palm,891.9556636
Excluding Family Labour,1,rice-maize-coconut-areca palm,733.5674181
Excluding Family Labour,1,rice-maize-coconut-areca palm,-844.8258446
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2353.259272
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1560.647356
Excluding Family Labour,1,rice-maize-coconut-areca palm,-705.599444
Excluding Family Labour,1,rice-maize-coconut-areca palm,6488.298375
Excluding Family Labour,1,rice-maize-coconut-areca palm,-64.31816935
Excluding Family Labour,1,rice-maize-coconut-areca palm,8281.525242
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2188.191858
Excluding Family Labour,1,rice-maize-coconut-areca palm,-842.3570728
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1469.130533
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3295.684958
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1215.679456
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2254.263279
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2823.970611
Excluding Family Labour,1,rice-maize-coconut-areca palm,1328.627161
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2622.255005
Excluding Family Labour,1,rice-maize-coconut-areca palm,5017.793564
Excluding Family Labour,1,rice-maize-coconut-areca palm,-6491.824458
Excluding Family Labour,1,rice-maize-coconut-areca palm,-577.2699632
Excluding Family Labour,1,rice-maize-coconut-areca palm,576.5366031
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2478.266349
Excluding Family Labour,1,rice-maize-coconut-areca palm,6190.456547
Excluding Family Labour,1,rice-maize-coconut-areca palm,-5460.393235
Excluding Family Labour,1,rice-maize-coconut-areca palm,592.8302479
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2989.3584
Excluding Family Labour,1,rice-maize-coconut-areca palm,2916.664856
Excluding Family Labour,1,rice-maize-coconut-areca palm,3870.472096
Excluding Family Labour,1,rice-maize-coconut-areca palm,-52.03566135
Excluding Family Labour,1,rice-maize-coconut-areca palm,528.8993694
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2600.340804
Excluding Family Labour,1,rice-maize-coconut-areca palm,-969.0876668
Excluding Family Labour,1,rice-maize-coconut-areca palm,-801.8997947
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4777.363828
Excluding Family Labour,1,rice-maize-coconut-areca palm,2681.837782
Excluding Family Labour,1,rice-maize-coconut-areca palm,3375.045952
Excluding Family Labour,1,rice-maize-coconut-areca palm,-46.30783535
Excluding Family Labour,1,rice-maize-coconut-areca palm,1046.308815
Excluding Family Labour,1,rice-maize-coconut-areca palm,-7016.783699
Excluding Family Labour,1,rice-maize-coconut-areca palm,2689.899587
Excluding Family Labour,1,rice-maize-coconut-areca palm,-7431.63048
Excluding Family Labour,1,rice-maize-coconut-areca palm,1090.881679
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2639.653335
Excluding Family Labour,1,rice-maize-coconut-areca palm,680.6201598
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3207.373282
Excluding Family Labour,1,rice-maize-coconut-areca palm,-6407.095696
