Label,Desc,Decision Option,Tradeoff
Including Family Labour,2,rubber-areca palm-durian,16366.39
Including Family Labour,2,rubber-areca palm-durian,2619.551139
Including Family Labour,2,rubber-areca palm-durian,19975.99987
Including Family Labour,2,rubber-areca palm-durian,7787.537186
Including Family Labour,2,rubber-areca palm-durian,17489.6069
Including Family Labour,2,rubber-areca palm-durian,19611.2355
Including Family Labour,2,rubber-areca palm-durian,8376.501829
Including Family Labour,2,rubber-areca palm-durian,12004.43993
Including Family Labour,2,rubber-areca palm-durian,20127.83538
Including Family Labour,2,rubber-areca palm-durian,6365.382852
Including Family Labour,2,rubber-areca palm-durian,3644.19474
Including Family Labour,2,rubber-areca palm-durian,15520.57307
Including Family Labour,2,rubber-areca palm-durian,9196.687506
Including Family Labour,2,rubber-areca palm-durian,6676.927716
Including Family Labour,2,rubber-areca palm-durian,30120.08101
Including Family Labour,2,rubber-areca palm-durian,8225.896647
Including Family Labour,2,rubber-areca palm-durian,16632.33585
Including Family Labour,2,rubber-areca palm-durian,3098.187179
Including Family Labour,2,rubber-areca palm-durian,6674.865558
Including Family Labour,2,rubber-areca palm-durian,9062.869684
Including Family Labour,2,rubber-areca palm-durian,10254.42586
Including Family Labour,2,rubber-areca palm-durian,6837.529662
Including Family Labour,2,rubber-areca palm-durian,32277.82986
Including Family Labour,2,rubber-areca palm-durian,18030.93302
Including Family Labour,2,rubber-areca palm-durian,10141.06399
Including Family Labour,2,rubber-areca palm-durian,5359.106988
Including Family Labour,2,rubber-areca palm-durian,20037.2567
Including Family Labour,2,rubber-areca palm-durian,5738.90027
Including Family Labour,2,rubber-areca palm-durian,1906.834171
Including Family Labour,2,rubber-areca palm-durian,11098.79133
Including Family Labour,2,rubber-areca palm-durian,5568.252055
Including Family Labour,2,rubber-areca palm-durian,24318.34339
Including Family Labour,2,rubber-areca palm-durian,7426.70994
Including Family Labour,2,rubber-areca palm-durian,6927.776701
Including Family Labour,2,rubber-areca palm-durian,6949.876283
Including Family Labour,2,rubber-areca palm-durian,27411.74712
Including Family Labour,2,rubber-areca palm-durian,15535.03322
Including Family Labour,2,rubber-areca palm-durian,9566.203112
Including Family Labour,2,rubber-areca palm-durian,10080.73873
Including Family Labour,2,rubber-areca palm-durian,20911.56201
Including Family Labour,2,rubber-areca palm-durian,4039.532807
Including Family Labour,2,rubber-areca palm-durian,489.6854196
Including Family Labour,2,rubber-areca palm-durian,3701.212091
Including Family Labour,2,rubber-areca palm-durian,5906.699955
Including Family Labour,2,rubber-areca palm-durian,13593.10332
Including Family Labour,2,rubber-areca palm-durian,11941.39415
Including Family Labour,2,rubber-areca palm-durian,7482.589089
Including Family Labour,2,rubber-areca palm-durian,8327.811891
Including Family Labour,2,rubber-areca palm-durian,6371.013843
Including Family Labour,2,rubber-areca palm-durian,9666.795333
Including Family Labour,2,rubber-areca palm-durian,6376.037156
Including Family Labour,2,rubber-areca palm-durian,8632.967074
Including Family Labour,2,rubber-areca palm-durian,27549.77939
Including Family Labour,2,rubber-areca palm-durian,8224.493387
Including Family Labour,2,rubber-areca palm-durian,10178.84425
Including Family Labour,2,rubber-areca palm-durian,9644.360661
